time,FL1,FL6,FL19,TA21s1,TB21s11,TL8s1,TL9s1,TL14s1,PS1,PS2,PH1,PH2,cv42C,cv43C
10.919798,145.73376,317.7131,463.71628,612.43585,513.32723,387.83254,387.73193,491.3249,81.574043,94.407578,33.708531,36.525989,62572.371,62761.828
11.019798,144.69312,318.48025,463.44466,612.50197,513.39962,387.83379,387.73176,491.36417,81.482491,94.451286,33.662076,36.503372,62569.398,62764.469
11.119798,143.65509,319.24364,463.1718,612.56843,513.47246,387.83502,387.73159,491.40377,81.390938,94.494995,33.61555,36.480564,62566.41,62767.117
11.219798,142.61972,320.00343,462.89852,612.63529,513.54577,387.83627,387.73139,491.44362,81.299385,94.538704,33.56896,36.457579,62563.398,62769.777
11.319798,141.5864,320.75909,462.62225,612.70264,513.61945,387.83752,387.73122,491.48376,81.207825,94.582413,33.522307,36.434411,62560.359,62772.449
11.419798,140.55564,321.5113,462.34584,612.77032,513.69361,387.83875,387.73105,491.52422,81.116272,94.626122,33.475603,36.411098,62557.336,62775.133
11.519798,139.52714,322.25982,462.06799,612.83841,513.76814,387.83997,387.73088,491.56494,81.024719,94.66983,33.428841,36.387623,62554.273,62777.832
11.619798,138.50133,323.00516,461.78973,612.90683,513.84315,387.84122,387.73068,491.60597,80.933167,94.713547,33.382016,36.363964,62551.227,62780.547
11.719798,137.47742,323.74662,461.50867,612.97567,513.91852,387.84244,387.73051,491.6473,80.841614,94.757256,33.335133,36.340142,62548.184,62783.277
11.819798,136.45594,324.4849,461.22748,613.04484,513.99434,387.8437,387.73034,491.68891,80.750061,94.800964,33.288203,36.316169,62545.109,62786.031
11.919798,135.43678,325.21994,460.94559,613.11435,514.07057,387.84492,387.73017,491.73079,80.658508,94.844673,33.241218,36.292041,62542.023,62788.805
12.019798,134.41945,325.95135,460.66162,613.1842,514.14717,387.84617,387.72997,491.77297,80.566956,94.888382,33.194179,36.267763,62538.926,62791.598
12.119798,133.39056,326.68617,460.3699,613.25446,514.22441,387.84739,387.7298,491.81546,80.475403,94.932091,33.141742,36.242795,62535.605,62794.414
12.219798,132.34897,327.4253,460.0698,613.3254,514.30298,387.84858,387.72959,491.85822,80.38385,94.9758,33.089697,36.216871,62531.918,62797.238
12.319798,131.29973,328.16629,459.76341,613.39749,514.38317,387.8498,387.72942,491.90128,80.292297,95.019508,33.037888,36.190221,62528.113,62800.031
12.419798,130.24644,328.9077,459.45391,613.471,514.46499,387.85102,387.72922,491.94465,80.200745,95.063217,32.986233,36.163048,62524.309,62802.777
12.519798,129.19117,329.64814,459.14154,613.54587,514.5482,387.85224,387.72902,491.98832,80.109184,95.106926,32.934664,36.135466,62520.57,62805.465
12.619798,128.13563,330.38714,458.82734,613.62196,514.63253,387.85346,387.72881,492.03234,80.017632,95.150635,32.883139,36.107547,62516.922,62808.09
12.719798,127.07899,331.12658,458.51229,613.69914,514.71781,387.85468,387.72861,492.07672,79.926079,95.194344,32.831663,36.079177,62513.328,62810.664
12.819798,126.00104,331.90641,458.21614,613.77706,514.80316,387.85597,387.72847,492.12151,79.834526,95.238052,32.780692,36.068608,62510.43,62813.195
