t_trip,P2_end,T_trip
21.419798,129.35603,624.27375
23.719798,129.35603,627.33541
25.619798,129.35603,630.34607
27.419798,129.35603,633.50342
28.819798,129.35603,636.39282
30.219798,129.35603,639.4005
31.719798,129.35603,642.52767
33.219798,129.35603,645.5112
34.819798,129.35603,648.50966
36.519798,129.35603,651.55396
38.319798,129.35603,654.69408
40.119798,129.35603,657.70013
41.919798,129.35603,660.71682
43.519798,129.35603,663.69893
45.219798,129.35603,666.82231
48.619798,129.35603,672.75804
46.819798,129.35603,669.75701
49.919798,129.35603,676.36637
50.119798,129.35603,679.89597
50.319798,129.35603,684.44078
50.419798,129.35603,686.70485
50.519798,129.35603,688.79313
50.919798,129.35603,694.68207
50.719798,129.35603,692.22866
51.319798,129.35603,697.39468
0,0,0
0.11979835,130.68503,606.82475
4.4197983,130.68503,609.06148
12.719798,130.68503,615.17375
8.8197984,130.68503,612.12606
18.919798,130.68503,621.23935
15.919798,130.68503,618.15152
21.419798,130.68503,624.27375
23.719798,130.68503,627.33541
25.619798,130.68503,630.34607
27.419798,130.68503,633.50342
28.819798,130.68503,636.39282
30.219798,130.68503,639.4005
31.719798,130.68503,642.52767
33.219798,130.68503,645.5112
36.519798,130.68503,651.55396
34.819798,130.68503,648.50966
40.119798,130.68503,657.70013
38.319798,130.68503,654.69408
41.919798,130.68503,660.71682
43.519798,130.68503,663.69893
45.219798,130.68503,666.82231
46.819798,130.68503,669.75701
49.919798,130.68503,676.36637
48.619798,130.68503,672.75804
50.319798,130.68503,684.44078
50.119798,130.68503,679.89597
50.419798,130.68503,686.70485
50.519798,130.68503,688.79313
50.919798,130.68503,694.68207
50.719798,130.68503,692.22866
51.319798,130.68503,697.39468
0,0,0
0.11979835,132.01404,606.82475
4.4197983,132.01404,609.06148
8.8197984,132.01404,612.12606
12.719798,132.01404,615.17375
18.919798,132.01404,621.23935
15.919798,132.01404,618.15152
21.419798,132.01404,624.27375
23.719798,132.01404,627.33541
25.619798,132.01404,630.34607
27.419798,132.01404,633.50342
